"measure","stat","p.value","sig"
"MTSCFAPC","0.705882352941177","0.872",""
"MTSPS82","2.1","0.552",""
"MTSRCAMD","10.8","0.013","*"
"MTSRFAMD","10.8","0.013","*"
"OTSMDLFC","1.5","0.682",""
"OTSPSFC","0.981818181818182","0.806",""
"PALFAMS","6.53571428571429","0.088",""
"PALTEA","10.0588235294118","0.018","*"
"RTIFMDMT","3.95798319327731","0.266",""
"RTIFMDRT","5.87394957983193","0.118",""
"RTISMDMT","7.47272727272727","0.058",""
"RTISMDRT","0.927272727272727","0.819",""
"SWMBE12","2.52212389380531","0.471",""
"SWMBE4","16.3333333333333","0.001","***"
"SWMBE468","7.63392857142857","0.054",""
"SWMBE6","6.03030303030303","0.11",""
"SWMBE8","1.63636363636364","0.651",""
"SWMS","3.7027027027027","0.295",""
"Z_MTS","3.4","0.334",""
"Z_OTS","0.9","0.825",""
"Z_PAL","10.9159663865546","0.012","*"
"Z_RTI","2.8","0.423",""
"Z_SWM","13.5","0.004","**"
"CCFQ","1.81034482758621","0.613",""
"CSSRS","12.6875","0.005","**"
"ESAPS","11.4642857142857","0.009","**"
"HAMA","6.12820512820513","0.106",""
"MADRS","7.6271186440678","0.054",""
"PLR","11.953125","0.008","**"
"UPDRS_1","26.7155172413793","<0.001","***"
"UPDRS_2","28.2457627118644","<0.001","***"
"UPDRS_3","7.18421052631579","0.066",""
"UPDRS_4","4.27272727272727","0.233",""
"UPDRS_SUM","24.0756302521008","<0.001","***"
"NPIQ_DIS","13.0882352941176","0.004","**"
"NPIQ_SEV","19.5436893203883","<0.001","***"
