measure,t,t.p,w,w.p
fivedasc_util_total,-0.785,0.4489,20.0,0.4446
fivedasc_sprit_total,-1.716,0.1142,17.0,0.1549
fivedasc_bliss_total,-0.976,0.3499,32.0,0.6221
fivedasc_insight_total,-0.407,0.6921,33.0,1.0
fivedasc_dis_total,-1.471,0.1694,19.0,0.1294
fivedasc_imp_total,0.339,0.7407,27.0,0.3804
fivedasc_anx_total,-0.943,0.3661,23.0,0.3739
fivedasc_cimg_total,-0.771,0.4571,15.0,0.064
fivedasc_eimg_total,-0.452,0.6602,29.0,0.4697
fivedasc_av_total,-0.443,0.6664,37.0,0.9097
fivedasc_per_total,-0.842,0.4176,23.0,0.2334
boundlessMean,-1.093,0.2978,26.0,0.3394
anxiousEgoMean,-1.983,0.0729,20.0,0.1514
visionaryMean,-0.898,0.3886,29.0,0.4697
